No	IDp	JP	PP	PM	TR	H	K	P	M	S	TG	ALFI	ANDI	INCEP	OXI	ULTI	LDAS	Y	KP	KBAIRp	latitude	longitude
18	1	4552	0.78	1220	987	9.95	9.89	21.41	7.12	21.91	8.05	0.00	0.00	5.55	54.20	22.46	8855.89	6.82	1679.08	434197.46	107.3967	-6.6221
31	2	5936	1.01	1890	1667	15.24	0.00	19.53	0.00	29.68	1.92	0.00	0.00	0.00	0.00	76.19	1486.14	3.29	1289.85	55973.33	107.3268	-6.5706
44	3	7380	1.26	850	2934	32.27	14.43	5.36	0.00	24.43	4.23	0.00	0.00	0.00	0.00	90.52	1200.40	8.76	3232.25	113295.97	107.3842	-6.5848
89	4	4989	0.85	1266	1395	13.76	4.87	19.33	4.12	26.72	7.85	0.00	0.00	2.96	25.42	54.50	3180.86	5.39	1460	135060	107.3584	-6.5791
13	5	2968	0.51	1320	615	3.33	0.00	24.20	12.33	34.83	3.57	0.00	0.00	1.69	60.49	21.62	2880.46	4.39	592.37	49823.57	107.3299	-6.6394
27	6	4110	0.70	1052	772	8.04	0.00	26.14	1.14	22.73	21.51	0.00	0.00	7.55	12.42	61.69	1481.43	3.67	508.81	22010.17	107.3237	-6.6033
22	7	6000	1.02	2632	2827	9.03	0.41	43.42	5.51	19.78	0.06	0.00	0.00	35.45	50.98	0.00	7735.76	1.57	214.61	48478.00	107.2487	-6.6527
6	8	1575	0.27	1504	750	15.66	0.00	42.25	0.00	18.72	0.00	0.00	0.00	75.48	0.00	5.30	2163.31	3.64	490.40	30977.64	107.2664	-6.6008
30	9	1990	0.34	1208	642	30.39	0.00	34.34	0.62	11.83	2.35	0.00	0.00	81.08	0.00	2.70	12884.27	0.73	196.89	74074.12	107.2832	-6.5488
25	10	8634	1.47	2648	2020	2.08	0.45	0.00	18.13	37.15	42.20	0.00	0.00	5.35	94.65	0.00	3216.97	2.14	388.13	36459.47	107.5310	-7.0460
60	11	6505	1.11	4383	1140	59.31	0.70	3.52	3.17	17.73	14.86	0.00	66.18	0.00	33.82	0.00	5887.10	2.22	489.44	84137.20	107.4916	-7.1309
24	12	8963	1.53	2188	3659	27.89	36.75	0.00	5.37	11.22	17.97	0.00	33.82	0.00	66.18	0.00	3642.79	5.01	1068.44	113649.77	107.4357	-7.0795
91	13	8262	1.41	3400	2459	34.53	21.08	2.59	7.30	17.11	10.75	0.00	46.51	1.21	48.72	0.00	4545.21	4.04	868	112699	107.4824	-7.0773
36	14	11399	1.94	4620	3680	47.21	0.82	6.86	14.58	14.85	2.19	0.00	86.06	3.88	9.14	0.00	7170.33	4.57	1025.00	214608.98	107.4322	-7.1363
76	15	6970	1.19	1540	1515	0.00	76.11	0.00	17.61	1.84	0.00	0.00	0.00	94.49	0.00	0.00	968.77	4.37	827.51	23408.64	107.5418	-7.0090
45	16	8733	1.49	2392	1169	0.00	67.99	0.00	2.97	26.78	0.00	0.00	0.00	97.58	0.00	0.00	2382.74	9.64	1747.09	121555.61	107.5168	-6.9811
